"","x","y","depJan","depFeb","depMar","depApr","depMay","depJun","depJul","depAug","depSep","depOct","depNov","depDec"
"614",-85,82.4210526315789,5.00438054643298e-11,9.35712932918081e-11,2.27853679527672e-10,2.51513989079103e-10,2.51765704231731e-10,4.01858648896476e-10,2.41594165327616e-10,2.30107900507474e-10,2.18404390032274e-10,1.46557369511786e-10,4.90142716452931e-11,5.0757501534346e-11
"615",-82.5,82.4210526315789,5.3267160884799e-11,9.82281608347601e-11,2.11635140564669e-10,2.57917173946201e-10,2.72542468329967e-10,4.42116131302728e-10,2.54690214231135e-10,2.40791413907591e-10,2.05106793365901e-10,1.57467002084117e-10,4.76874018179026e-11,5.01092133485168e-11
"616",-80,82.4210526315789,5.68791900786101e-11,1.03116810134586e-10,1.92299636907504e-10,2.60913971092576e-10,2.77175249305218e-10,4.69710574146735e-10,2.79895064644962e-10,2.46294238665954e-10,2.0473220287056e-10,1.70444804510573e-10,4.77350489458449e-11,5.04270590738422e-11
"617",-77.5,82.4210526315789,6.26369134782302e-11,9.6921329604616e-11,1.74423140725721e-10,2.55697148025293e-10,2.70979960882321e-10,4.73236781792924e-10,2.88532527948152e-10,2.56752565985351e-10,1.94839109446008e-10,1.876917200762e-10,4.96133895685341e-11,5.06329795595833e-11
"618",-75,82.4210526315789,6.21702991212138e-11,8.99628089308813e-11,1.5957789289197e-10,2.61522749257174e-10,2.76812898774778e-10,4.40903807604268e-10,2.8423322655474e-10,2.69562851044642e-10,2.08431672800175e-10,1.88542351897041e-10,4.88807983957504e-11,5.19958328712325e-11
"619",-72.5,82.4210526315789,6.29925494090907e-11,9.00874223852023e-11,1.53241460658566e-10,2.35786896599218e-10,2.76363349929363e-10,4.11757139614968e-10,2.69958683093421e-10,2.58472765895601e-10,1.88770666578655e-10,1.94263465177428e-10,4.68416778753649e-11,5.09801810751683e-11
"620",-70,82.4210526315789,6.05691644300736e-11,8.93420103523224e-11,1.43511603357851e-10,2.35006338120038e-10,2.56176757053566e-10,3.84179894927922e-10,2.75454427333972e-10,2.59140804518068e-10,1.83422076355591e-10,2.0714702536292e-10,4.22139145538872e-11,4.88852900420631e-11
"621",-67.5,82.4210526315789,5.8149100159023e-11,7.96972290408298e-11,1.26906673036486e-10,2.02479390675955e-10,2.25061339194105e-10,3.77597867524341e-10,2.3718210623064e-10,2.13618252725483e-10,1.43452361195894e-10,2.09148616394511e-10,3.63742163220714e-11,4.59941655074625e-11
"622",-65,82.4210526315789,6.13293412636638e-11,7.36608634805953e-11,1.18584612954415e-10,2.03881699121101e-10,2.09660060309074e-10,3.64910787134173e-10,1.64394895401732e-10,1.84978271713715e-10,1.19439681533834e-10,1.96662040900233e-10,3.32720141416303e-11,4.56482401317159e-11
"623",-62.5,82.4210526315789,6.45171751716437e-11,7.21104679264682e-11,1.06065214594618e-10,1.67844113851652e-10,2.09181969841469e-10,3.78325715482027e-10,1.60020964984657e-10,1.76515168448651e-10,1.08229566056343e-10,1.90323422305386e-10,3.2385945426892e-11,4.58114259417955e-11
